Diagnosis,ICD Code
Unspecified open wound of left middle finger without damage to nail,S61203
Unspecified open wound of right ring finger without damage to nail,S61204
Unspecified open wound of left ring finger without damage to nail,S61205
Unspecified open wound of right little finger without damage to nail,S61206
Unspecified open wound of left little finger without damage to nail,S61207
Unspecified open wound of other finger without damage to nail,S61208
Unspecified open wound of unspecified finger without damage to nail,S61209
Laceration without foreign body of finger without damage to nail,S6121
Laceration without foreign body of right index finger without damage to nail,S61210
Laceration without foreign body of left index finger without damage to nail,S61211
Laceration without foreign body of right middle finger without damage to nail,S61212
Laceration without foreign body of left middle finger without damage to nail,S61213
Laceration without foreign body of right ring finger without damage to nail,S61214
Laceration without foreign body of left ring finger without damage to nail,S61215
Laceration without foreign body of right little finger without damage to nail,S61216
Laceration without foreign body of left little finger without damage to nail,S61217
Laceration without foreign body of other finger without damage to nail,S61218
Laceration without foreign body of unspecified finger without damage to nail,S61219
Laceration with foreign body of finger without damage to nail,S6122
Laceration with foreign body of right index finger without damage to nail,S61220
Laceration with foreign body of left index finger without damage to nail,S61221
Laceration with foreign body of right middle finger without damage to nail,S61222
Laceration with foreign body of left middle finger without damage to nail,S61223
Laceration with foreign body of right ring finger without damage to nail,S61224
Laceration with foreign body of left ring finger without damage to nail,S61225
Laceration with foreign body of right little finger without damage to nail,S61226
Laceration with foreign body of left little finger without damage to nail,S61227
Laceration with foreign body of other finger without damage to nail,S61228
Laceration with foreign body of unspecified finger without damage to nail,S61229
Puncture wound without foreign body of finger without damage to nail,S6123
Puncture wound without foreign body of right index finger without damage to nail,S61230
Puncture wound without foreign body of left index finger without damage to nail,S61231
Puncture wound without foreign body of right middle finger without damage to nail,S61232
Puncture wound without foreign body of left middle finger without damage to nail,S61233
Puncture wound without foreign body of right ring finger without damage to nail,S61234
Puncture wound without foreign body of left ring finger without damage to nail,S61235
Puncture wound without foreign body of right little finger without damage to nail,S61236
Puncture wound without foreign body of left little finger without damage to nail,S61237
Puncture wound without foreign body of other finger without damage to nail,S61238
Puncture wound without foreign body of unspecified finger without damage to nail,S61239
Puncture wound with foreign body of finger without damage to nail,S6124
Puncture wound with foreign body of right index finger without damage to nail,S61240
Puncture wound with foreign body of left index finger without damage to nail,S61241
Puncture wound with foreign body of right middle finger without damage to nail,S61242
Puncture wound with foreign body of left middle finger without damage to nail,S61243
Puncture wound with foreign body of right ring finger without damage to nail,S61244
Puncture wound with foreign body of left ring finger without damage to nail,S61245
Puncture wound with foreign body of right little finger without damage to nail,S61246
Puncture wound with foreign body of left little finger without damage to nail,S61247
Puncture wound with foreign body of other finger without damage to nail,S61248
Puncture wound with foreign body of unspecified finger without damage to nail,S61249
Open bite of finger without damage to nail,S6125
Open bite of right index finger without damage to nail,S61250
Open bite of left index finger without damage to nail,S61251
Open bite of right middle finger without damage to nail,S61252
Open bite of left middle finger without damage to nail,S61253
Open bite of right ring finger without damage to nail,S61254
Open bite of left ring finger without damage to nail,S61255
Open bite of right little finger without damage to nail,S61256
Open bite of left little finger without damage to nail,S61257
Open bite of other finger without damage to nail,S61258
Open bite of unspecified finger without damage to nail,S61259
Open wound of other finger with damage to nail,S613
Unspecified open wound of finger with damage to nail,S6130
Unspecified open wound of right index finger with damage to nail,S61300
Unspecified open wound of left index finger with damage to nail,S61301
Unspecified open wound of right middle finger with damage to nail,S61302
Unspecified open wound of left middle finger with damage to nail,S61303
Unspecified open wound of right ring finger with damage to nail,S61304
Unspecified open wound of left ring finger with damage to nail,S61305
Unspecified open wound of right little finger with damage to nail,S61306
Unspecified open wound of left little finger with damage to nail,S61307
Unspecified open wound of other finger with damage to nail,S61308
Unspecified open wound of unspecified finger with damage to nail,S61309
Laceration without foreign body of finger with damage to nail,S6131
Laceration without foreign body of right index finger with damage to nail,S61310
Laceration without foreign body of left index finger with damage to nail,S61311
Laceration without foreign body of right middle finger with damage to nail,S61312
Laceration without foreign body of left middle finger with damage to nail,S61313
Laceration without foreign body of right ring finger with damage to nail,S61314
Laceration without foreign body of left ring finger with damage to nail,S61315
Laceration without foreign body of right little finger with damage to nail,S61316
Laceration without foreign body of left little finger with damage to nail,S61317
Laceration without foreign body of other finger with damage to nail,S61318
Laceration without foreign body of unspecified finger with damage to nail,S61319
Laceration with foreign body of finger with damage to nail,S6132
Laceration with foreign body of right index finger with damage to nail,S61320
Laceration with foreign body of left index finger with damage to nail,S61321
Laceration with foreign body of right middle finger with damage to nail,S61322
Laceration with foreign body of left middle finger with damage to nail,S61323
Laceration with foreign body of right ring finger with damage to nail,S61324
Laceration with foreign body of left ring finger with damage to nail,S61325
Laceration with foreign body of right little finger with damage to nail,S61326
Laceration with foreign body of left little finger with damage to nail,S61327
Laceration with foreign body of other finger with damage to nail,S61328
Laceration with foreign body of unspecified finger with damage to nail,S61329
Puncture wound without foreign body of finger with damage to nail,S6133
Puncture wound without foreign body of right index finger with damage to nail,S61330
Puncture wound without foreign body of left index finger with damage to nail,S61331
Puncture wound without foreign body of right middle finger with damage to nail,S61332
Puncture wound without foreign body of left middle finger with damage to nail,S61333
Puncture wound without foreign body of right ring finger with damage to nail,S61334
Puncture wound without foreign body of left ring finger with damage to nail,S61335
Puncture wound without foreign body of right little finger with damage to nail,S61336
Puncture wound without foreign body of left little finger with damage to nail,S61337
Puncture wound without foreign body of other finger with damage to nail,S61338
Puncture wound without foreign body of unspecified finger with damage to nail,S61339
Puncture wound with foreign body of finger with damage to nail,S6134
Puncture wound with foreign body of right index finger with damage to nail,S61340
Puncture wound with foreign body of left index finger with damage to nail,S61341
Puncture wound with foreign body of right middle finger with damage to nail,S61342
Puncture wound with foreign body of left middle finger with damage to nail,S61343
Puncture wound with foreign body of right ring finger with damage to nail,S61344
Puncture wound with foreign body of left ring finger with damage to nail,S61345
